step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,4.5369723656214775,0,0.0,1.0,0,0.0,0.24671565269609436,0,0.0,0.36057083506880494,0,0.0
10.0,1,0.0,0.0,9.390189634043576,0,0.0,1.0,0,0.0,0.9428700787260993,1,0.0,0.5865771060322077,1,0.0
15.0,1,1.0,0.14285714285714285,6.892446836149412,0,0.0,0.2812577094180312,1,1.0,0.0016283223211789267,0,0.0,0.8607947797812598,1,1.0
20.0,2,6.0,0.6,9.046296223003337,1,0.0,0.5752869738281803,1,6.0,0.461601865590405,0,0.0,0.9892403206022355,2,6.0
25.0,2,11.0,0.9166666666666666,8.845034915695944,1,0.0,0.6117059322890099,1,11.0,0.6453715461875308,0,0.0,0.5996828668482476,2,11.0
30.0,3,22.0,1.4666666666666666,8.318084952504677,2,6.0,0.49384747836103315,1,16.0,0.7251854913505462,0,0.0,0.5317211796081515,3,22.0
35.0,2,16.0,1.0666666666666667,9.336654886149834,2,16.0,0.44069131532124944,0,0.0,0.772046285599241,0,0.0,0.9309960856395375,2,16.0
40.0,3,8.0,0.4444444444444444,8.080287517587095,1,3.0,0.32224263800839054,2,6.0,0.6207448533354665,0,0.0,0.7753841124789713,3,9.0
45.0,2,7.0,0.3333333333333333,8.703206277675097,1,7.0,0.43489802432322267,0,4.0,0.5902767908599551,1,0.0,0.594336450368757,2,11.0
50.0,3,1.0,0.045454545454545456,9.175807141512927,1,2.0,0.6604136701945423,0,0.0,0.9309223819083562,2,1.0,0.622204362564634,3,3.0
55.0,2,6.0,0.25,10.378796000470189,0,2.0,0.7909624588268929,0,2.0,0.9346910230403719,2,6.0,0.6386425402709552,2,10.0
60.0,4,19.0,0.7037037037037037,9.912653404053815,2,3.0,0.6343016913278532,0,2.0,0.9166539578615224,2,16.0,0.618102718044942,4,21.0
65.0,6,41.0,1.4137931034482758,9.680816505727542,2,12.0,0.6615631707684562,0,0.0,0.9526841649784895,4,29.0,0.39879700918795447,6,41.0
70.0,6,69.0,2.3,9.677161308907607,3,25.0,0.6404607098678662,0,0.0,0.9061733052858683,3,44.0,0.4819618739327868,6,69.0
75.0,4,41.0,1.3225806451612903,9.83435656660162,4,41.0,0.5421292947467932,0,0.0,0.9167737583273798,0,18.0,0.6690177164696051,4,59.0
80.0,2,6.0,0.21428571428571427,8.677541798523697,0,29.0,0.2838629375269949,0,0.0,0.9135050043565891,2,6.0,0.6621410221650507,2,35.0
85.0,5,16.0,0.6666666666666666,7.2318414807153815,4,16.0,0.299946994447171,0,0.0,0.9572680076678086,1,0.0,0.4351103197642457,5,16.0
