step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,B0_stopped,B0_accumulated_waiting_time,B0_average_speed,C0_stopped,C0_accumulated_waiting_time,C0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,1,0.0,0.0,4.309495978523045,0,0.0,0.6084104122805761,0,0.0,1.0,1,0.0,0.0,1,0.0
10.0,2,0.0,0.0,5.159778340183881,1,0.0,0.3739604629585452,0,0.0,1.0,1,0.0,0.33989845282089287,2,0.0
15.0,0,0.0,0.0,10.473587224056997,0,0.0,0.7454816492751815,0,0.0,1.0,0,0.0,0.8327238421226267,0,0.0
20.0,1,0.0,0.0,9.122135585310456,0,0.0,0.7420407418152583,0,0.0,0.9370831750168067,1,0.0,0.5693855668244312,1,0.0
25.0,0,0.0,0.0,11.744123501033405,0,0.0,0.9423386894024354,0,0.0,0.9854150340530573,0,0.0,0.8446941104137022,0,0.0
30.0,2,4.0,0.3333333333333333,9.431811241773515,1,1.0,0.5422034636659452,0,0.0,0.8193271516187627,1,3.0,0.6357148328529733,2,4.0
35.0,1,8.0,0.5,7.5855476499243455,0,0.0,0.403098334425611,0,0.0,0.9387621237943772,1,8.0,0.4529656198971524,1,8.0
40.0,2,15.0,0.8823529411764706,10.175147519103971,0,0.0,0.7830267601921581,1,4.0,0.7940848176809667,1,13.0,0.6626828926850518,2,17.0
45.0,0,0.0,0.0,11.062188150533672,0,0.0,0.9232562383699479,0,2.0,0.9335996991207943,0,0.0,0.7455179212347448,0,2.0
50.0,2,4.0,0.21052631578947367,8.81612076777313,0,0.0,0.513337853716709,1,5.0,0.5990887594990617,1,1.0,0.5289283387123366,2,6.0
55.0,3,12.0,0.7058823529411765,5.758533874166443,0,0.0,0.4090043141666896,0,1.0,0.36377775229506004,3,12.0,0.27646897743030313,3,13.0
60.0,4,30.0,1.875,8.890637413356146,0,0.0,0.8798419620700682,0,0.0,0.9276105641697867,4,30.0,0.43655161014685506,4,30.0
65.0,2,2.0,0.1111111111111111,8.213113588336084,1,2.0,0.6986130393020298,0,0.0,0.9433096226303201,1,17.0,0.4955388460908038,2,19.0
70.0,1,7.0,0.3684210526315789,10.229982502673439,1,7.0,0.6097499472404918,0,2.0,0.7833338159997008,0,0.0,0.6524204987451487,1,9.0
